"GoJet Airlines, LLC d/b/a United Express",0.0696117035035783
Republic Airlines,0.05779230951935759
JetBlue Airways,0.04866926457176022
Mesa Airlines Inc.,0.041071527816373035
Endeavor Air Inc.,0.040799584922593675
Comair Inc.,0.039379176356303905
Allegiant Air,0.0393311928602525
American Airlines Inc.,0.037777773297066455
Air Wisconsin Airlines Corp,0.03538461538461538
"Commutair Aka Champlain Enterprises, Inc.",0.03421461897356143
Spirit Air Lines,0.032490248281840134
Frontier Airlines Inc.,0.028894254653003222
Alaska Airlines Inc.,0.02886263608987723
Capital Cargo International,0.02803490639256441
Envoy Air,0.02580957561124451
Southwest Airlines Co.,0.024816750350104177
United Air Lines Inc.,0.022936913544824137
SkyWest Airlines Inc.,0.02106817722949046
Delta Air Lines Inc.,0.020192769578648503
Horizon Air,0.01740056818181818
Hawaiian Airlines Inc.,0.008315171041410026
